flight_date,flight_status,dep_iata,dep_icao,dep_airport,dep_scheduled,dep_estimated,dep_actual,dep_delay,arr_iata,arr_icao,arr_airport,arr_scheduled,arr_estimated,arr_actual,arr_delay,airline_name,flight_number,flight_iata,flight_icao,collected_at
2025-10-27,active,IST,LTBA,Istanbul Airport,2025-10-27T01:20:00+00:00,2025-10-27T01:20:00+00:00,2025-10-27T02:02:00+00:00,43.0,VKO,UUWW,Vnukovo,2025-10-27T05:15:00+00:00,2025-10-27T05:38:00+00:00,,23.0,Turkish Airlines,407,TK407,THY1SW,2025-10-27 14:04:59
2025-10-27,active,IST,LTBA,Istanbul Airport,2025-10-27T09:30:00+00:00,2025-10-27T09:30:00+00:00,,,EDO,LTFD,Edremit/korfez,2025-10-27T10:35:00+00:00,,,,Turkish Airlines,2260,TK2260,THY3VG,2025-10-27 14:04:59
2025-10-27,active,IST,LTBA,Istanbul Airport,2025-10-27T09:30:00+00:00,2025-10-27T09:30:00+00:00,,10.0,TJK,LTAW,Tokat,2025-10-27T11:05:00+00:00,,,,Turkish Airlines,2582,TK2582,THY6FY,2025-10-27 14:04:59
2025-10-27,active,IST,LTBA,Istanbul Airport,2025-10-27T09:50:00+00:00,2025-10-27T09:50:00+00:00,,,ECN,LCEN,Ercan,2025-10-27T10:30:00+00:00,,,,Turkish Airlines,974,TK974,THY7FX,2025-10-27 14:04:59
2025-10-27,active,IST,LTFM,Istanbul Airport,2025-10-27T07:00:00+00:00,2025-10-27T07:00:00+00:00,2025-10-27T07:13:00+00:00,13.0,ADB,LTBJ,Adnan Menderes Airport,2025-10-27T08:10:00+00:00,2025-10-27T08:02:00+00:00,,,Air Serbia,8033,JU8033,ASL8033,2025-10-27 14:04:59
2025-10-27,active,IST,LTFM,Istanbul Airport,2025-10-27T07:00:00+00:00,2025-10-27T07:00:00+00:00,2025-10-27T07:13:00+00:00,13.0,ADB,LTBJ,Adnan Menderes Airport,2025-10-27T08:10:00+00:00,2025-10-27T08:02:00+00:00,,,Turkish Airlines,2310,TK2310,THY2310,2025-10-27 14:04:59
2025-10-27,active,IST,LTFM,Istanbul Airport,2025-10-27T07:00:00+00:00,2025-10-27T07:00:00+00:00,2025-10-27T07:10:00+00:00,11.0,OGU,LTCB,Ordu Giresun Airport,2025-10-27T08:45:00+00:00,2025-10-27T08:22:00+00:00,,,Turkish Airlines,2848,TK2848,THY2848,2025-10-27 14:04:59
2025-10-27,active,IST,LTFM,Istanbul Airport,2025-10-27T07:00:00+00:00,2025-10-27T07:00:00+00:00,2025-10-27T07:13:00+00:00,14.0,MXP,LIMC,Milano Malpensa,2025-10-27T07:40:00+00:00,2025-10-27T07:36:00+00:00,,,MNG Airlines,700,MB700,MNB700,2025-10-27 14:04:59
2025-10-27,active,IST,LTFM,Istanbul Airport,2025-10-27T07:05:00+00:00,2025-10-27T07:05:00+00:00,2025-10-27T07:21:00+00:00,17.0,GZT,LTAJ,Gaziantep,2025-10-27T08:50:00+00:00,2025-10-27T08:37:00+00:00,,,Air Serbia,8198,JU8198,ASL8198,2025-10-27 14:04:59
2025-10-27,active,IST,LTFM,Istanbul Airport,2025-10-27T07:05:00+00:00,2025-10-27T07:05:00+00:00,2025-10-27T07:21:00+00:00,17.0,GZT,LTAJ,Gaziantep,2025-10-27T08:50:00+00:00,2025-10-27T08:37:00+00:00,,,Turkish Airlines,2220,TK2220,THY2220,2025-10-27 14:04:59
