hour,dep_scheduled,dep_actual,delay_min,airline_name,flight_number,temp,humidity,pressure,wind_speed,weather,avg_speed,total_vehicles
2025-10-27 04:00:00+03:00,2025-10-27 01:20:00+00:00,2025-10-27 02:02:00+00:00,42.0,Turkish Airlines,407.0,,,,,,,
2025-10-27 12:00:00+03:00,2025-10-27 09:30:00+00:00,,0.0,Turkish Airlines,2260.0,,,,,,,
2025-10-27 12:00:00+03:00,2025-10-27 09:30:00+00:00,,10.0,Turkish Airlines,2582.0,,,,,,,
2025-10-27 12:00:00+03:00,2025-10-27 09:50:00+00:00,,0.0,Turkish Airlines,974.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:00:00+00:00,2025-10-27 07:13:00+00:00,13.0,Air Serbia,8033.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:00:00+00:00,2025-10-27 07:13:00+00:00,13.0,Turkish Airlines,2310.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:00:00+00:00,2025-10-27 07:10:00+00:00,10.0,Turkish Airlines,2848.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:00:00+00:00,2025-10-27 07:13:00+00:00,13.0,MNG Airlines,700.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:05:00+00:00,2025-10-27 07:21:00+00:00,16.0,Air Serbia,8198.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:05:00+00:00,2025-10-27 07:21:00+00:00,16.0,Turkish Airlines,2220.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:25:00+00:00,2025-10-27 07:45:00+00:00,20.0,Turkish Airlines,2674.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:25:00+00:00,2025-10-27 07:32:00+00:00,7.0,Thai Airways International,9336.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:25:00+00:00,2025-10-27 07:32:00+00:00,7.0,Turkish Airlines,2806.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:30:00+00:00,,70.0,Turkish Airlines,6055.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:52:00+00:00,17.0,IndiGo,4035.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:52:00+00:00,17.0,Uzbekistan Airways,7235.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:52:00+00:00,17.0,Miat - Mongolian Airlines,1137.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:52:00+00:00,17.0,Pakistan International Airlines,5185.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:52:00+00:00,17.0,Turkish Airlines,185.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:44:00+00:00,9.0,Finnair,3317.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:44:00+00:00,9.0,Air Serbia,8192.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:44:00+00:00,9.0,Thai Airways International,9334.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:44:00+00:00,9.0,Turkish Airlines,2592.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:35:00+00:00,2025-10-27 07:55:00+00:00,20.0,Turkish Airlines,,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:40:00+00:00,2025-10-27 08:08:00+00:00,28.0,Turkish Airlines,842.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:40:00+00:00,2025-10-27 07:49:00+00:00,9.0,Air Serbia,8112.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:40:00+00:00,2025-10-27 07:49:00+00:00,9.0,TAROM,9182.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:40:00+00:00,2025-10-27 07:49:00+00:00,9.0,Thai Airways International,9312.0,,,,,,,
2025-10-27 10:00:00+03:00,2025-10-27 07:40:00+00:00,2025-10-27 07:49:00+00:00,9.0,Turkish Airlines,2504.0,,,,,,,
